model,side,label,threshold,sample_mode,evaluated_years,complete_years,candidate_rows,signal_count,coverage,precision,natural_precision,actual_up_rate,actual_down_rate,avg_future_ret_3w,avg_future_mfe_3w,avg_future_mae_3w,natural_avg_future_ret_3w,precision_lift,avg_return_lift
qda,bottom,manual_weak_bottom_label,0.3,all_signals,6,5,80,80,1.0,0.2625,0.2625,0.5375,0.4625,0.012450520499999998,0.049257001,-0.0485308685,0.012450520499999998,0.0,0.0
qda,bottom,manual_weak_bottom_label,0.3,non_overlapping,6,5,80,37,0.4625,0.21621621621621623,0.2625,0.5135135135135135,0.4864864864864865,0.0062108259459459445,0.04436426378378379,-0.04919293945945946,0.012450520499999998,-0.04628378378378378,-0.006239694554054053
qda,bottom,manual_weak_bottom_label,0.4,all_signals,6,5,80,80,1.0,0.2625,0.2625,0.5375,0.4625,0.012450520499999998,0.049257001,-0.0485308685,0.012450520499999998,0.0,0.0
qda,bottom,manual_weak_bottom_label,0.4,non_overlapping,6,5,80,37,0.4625,0.21621621621621623,0.2625,0.5135135135135135,0.4864864864864865,0.0062108259459459445,0.04436426378378379,-0.04919293945945946,0.012450520499999998,-0.04628378378378378,-0.006239694554054053
qda,bottom,manual_weak_bottom_label,0.5,all_signals,6,5,80,80,1.0,0.2625,0.2625,0.5375,0.4625,0.012450520499999998,0.049257001,-0.0485308685,0.012450520499999998,0.0,0.0
qda,bottom,manual_weak_bottom_label,0.5,non_overlapping,6,5,80,37,0.4625,0.21621621621621623,0.2625,0.5135135135135135,0.4864864864864865,0.0062108259459459445,0.04436426378378379,-0.04919293945945946,0.012450520499999998,-0.04628378378378378,-0.006239694554054053
qda,bottom,manual_weak_bottom_label,0.6,all_signals,6,5,80,80,1.0,0.2625,0.2625,0.5375,0.4625,0.012450520499999998,0.049257001,-0.0485308685,0.012450520499999998,0.0,0.0
qda,bottom,manual_weak_bottom_label,0.6,non_overlapping,6,5,80,37,0.4625,0.21621621621621623,0.2625,0.5135135135135135,0.4864864864864865,0.0062108259459459445,0.04436426378378379,-0.04919293945945946,0.012450520499999998,-0.04628378378378378,-0.006239694554054053
qda,bottom,manual_weak_bottom_label,0.7,all_signals,6,5,80,80,1.0,0.2625,0.2625,0.5375,0.4625,0.012450520499999998,0.049257001,-0.0485308685,0.012450520499999998,0.0,0.0
qda,bottom,manual_weak_bottom_label,0.7,non_overlapping,6,5,80,37,0.4625,0.21621621621621623,0.2625,0.5135135135135135,0.4864864864864865,0.0062108259459459445,0.04436426378378379,-0.04919293945945946,0.012450520499999998,-0.04628378378378378,-0.006239694554054053
qda,top,manual_weak_top_label,0.3,all_signals,6,5,111,111,1.0,0.0990990990990991,0.0990990990990991,0.5945945945945946,0.40540540540540543,0.00734634927927928,0.04138443108108108,-0.035606921531531534,0.00734634927927928,0.0,0.0
qda,top,manual_weak_top_label,0.3,non_overlapping,6,5,111,45,0.40540540540540543,0.13333333333333333,0.0990990990990991,0.5777777777777777,0.4222222222222222,0.009305402222222224,0.045630123111111115,-0.032901969555555556,0.00734634927927928,0.03423423423423423,0.0019590529429429444
qda,top,manual_weak_top_label,0.4,all_signals,6,5,111,111,1.0,0.0990990990990991,0.0990990990990991,0.5945945945945946,0.40540540540540543,0.00734634927927928,0.04138443108108108,-0.035606921531531534,0.00734634927927928,0.0,0.0
